,age,workclass,education,education-num,marital-status,occupation,relationship,race,native-country,income_over_50K,over40hrs,gender-F/1-M/0
19858,53,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
38148,25,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Female
42039,58,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
442,25,Private,Bachelors,13,Never-married,Sales,Own-child,White,United-States,0,0,Female
42934,34,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
2137,44,Private,HS-grad,9,Divorced,Sales,Not-in-family,Asian-Pac-Islander,United-States,0,0,Female
46536,57,State-gov,12th,8,Divorced,Other-service,Unmarried,White,United-States,0,0,Female
30656,25,Federal-gov,HS-grad,9,Never-married,Transport-moving,Own-child,White,United-States,0,0,Male
20689,52,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Male
28247,55,Private,5th-6th,3,Widowed,Machine-op-inspct,Unmarried,White,United-States,0,0,Female
26167,37,Private,11th,7,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
31929,26,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Spouse,White,United-States,0,1,Male
43927,44,Private,Some-college,10,Married-civ-spouse,Sales,Spouse,White,United-States,1,1,Male
43851,21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
44666,35,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Male
40753,40,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,1,0,Male
27103,25,Self-emp-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,United-States,1,1,Male
42656,30,Private,11th,7,Never-married,Prof-specialty,Own-child,Black,United-States,0,0,Female
37786,46,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
1310,58,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,United-States,0,0,Female
34459,20,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,United-States,0,0,Female
8593,40,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
22274,35,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,United-States,0,0,Female
26139,35,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
42631,33,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Spouse,White,United-States,1,0,Male
9800,17,Private,11th,7,Never-married,Other-service,Own-child,White,United-States,0,0,Female
39871,61,Self-emp-inc,Doctorate,16,Married-civ-spouse,Exec-managerial,Spouse,Asian-Pac-Islander,Taiwan,1,0,Male
23936,37,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Female
45408,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,1,Male
15667,23,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Canada,0,0,Female
18516,43,Private,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,United-States,0,0,Female
29481,35,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
26074,45,State-gov,Masters,14,Married-civ-spouse,Adm-clerical,Spouse,White,India,0,0,Male
42156,62,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,United-States,0,0,Female
48053,17,Private,10th,6,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
10475,45,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,Asian-Pac-Islander,United-States,0,1,Female
31087,48,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,United-States,0,0,Male
28223,25,Private,Some-college,10,Married-civ-spouse,Protective-serv,Spouse,White,United-States,0,0,Male
5730,56,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
39932,57,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Spouse,White,United-States,1,0,Male
7965,33,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Spouse,White,Mexico,0,0,Male
3331,26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Male
28435,37,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,United-States,0,0,Female
36640,41,Private,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,United-States,0,0,Male
34597,24,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,United-States,0,0,Male
42069,18,Private,11th,7,Never-married,Other-service,Own-child,White,United-States,0,0,Female
17016,35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
26025,32,Private,12th,8,Married-civ-spouse,Craft-repair,Other-relative,White,Mexico,0,0,Male
3391,58,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,1,0,Male
14798,42,Federal-gov,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,United-States,0,0,Male
34149,36,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
37010,40,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
46132,41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,United-States,0,1,Male
4954,21,Private,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Male
19561,27,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,United-States,0,1,Male
38938,51,Private,HS-grad,9,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
32520,44,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Spouse,White,United-States,0,1,Male
27277,39,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Spouse,White,United-States,0,1,Male
9695,38,Self-emp-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,United-States,0,1,Male
24871,27,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,United-States,0,0,Female
9760,55,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,Yugoslavia,0,0,Male
1403,66,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Spouse,Black,United-States,0,1,Male
7955,41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,1,Male
3565,53,State-gov,Some-college,10,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,0,0,Male
32921,34,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Female
32048,35,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,1,1,Male
26581,23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,United-States,0,0,Male
36943,62,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
33204,41,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Spouse,Asian-Pac-Islander,India,1,1,Male
41627,37,Private,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
11278,26,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Male
37979,32,Private,12th,8,Never-married,Prof-specialty,Own-child,Black,United-States,0,0,Female
37974,50,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
22393,41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
1834,83,Private,7th-8th,4,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
11186,68,Self-emp-inc,11th,7,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Male
45412,58,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
45135,37,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Male
15102,38,Private,Some-college,10,Never-married,Adm-clerical,Other-relative,Other,India,0,0,Male
11299,27,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,United-States,0,0,Female
21287,19,Private,11th,7,Never-married,Other-service,Not-in-family,White,United-States,0,0,Male
12768,34,Private,11th,7,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Female
41038,34,Private,Some-college,10,Divorced,Sales,Not-in-family,White,United-States,0,0,Female
4692,57,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
6128,45,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
6656,18,Private,11th,7,Never-married,Adm-clerical,Own-child,Black,United-States,0,0,Female
3919,41,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,United-States,0,0,Female
28791,39,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,United-States,0,0,Male
18855,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
9079,34,Private,Bachelors,13,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Philippines,0,0,Female
4785,37,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,1,Male
23721,39,Local-gov,11th,7,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
3470,46,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,United-States,0,0,Male
43832,20,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
32296,57,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,United-States,0,0,Male
4184,41,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,Amer-Indian-Eskimo,United-States,1,0,Male
1349,25,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,United-States,0,1,Male
10735,90,Local-gov,HS-grad,9,Never-married,Craft-repair,Own-child,White,United-States,1,0,Male
39786,42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
6917,35,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Female
8476,21,Private,Some-college,10,Never-married,Sales,Own-child,Black,United-States,0,0,Female
13595,31,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,1,0,Male
42818,28,Private,Some-college,10,Never-married,Other-service,Own-child,White,United-States,0,1,Female
13296,23,Private,11th,7,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Female
29699,46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
26398,20,Private,11th,7,Married-civ-spouse,Prof-specialty,Other-relative,White,United-States,0,0,Female
4116,34,Private,HS-grad,9,Never-married,Tech-support,Own-child,Black,United-States,0,0,Male
43670,45,State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
47585,42,Private,10th,6,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
10759,53,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,United-States,0,0,Female
44701,31,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
19922,23,Private,Assoc-acdm,12,Never-married,Transport-moving,Unmarried,White,United-States,0,0,Female
42182,37,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,United-States,0,0,Female
13894,35,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Female
47075,19,Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Male
47220,19,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Female
43268,37,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
43163,29,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,Germany,1,1,Male
38195,19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Male
30080,22,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
38236,22,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
5951,30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Male
17951,44,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Spouse,White,United-States,1,0,Male
42931,34,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Female
32489,41,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,United-States,0,0,Male
17620,38,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Male
800,24,Private,Bachelors,13,Never-married,Sales,Own-child,White,United-States,0,0,Male
1005,53,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
36532,52,Private,11th,7,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
603,67,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Male
44211,47,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,United-States,0,1,Female
2164,35,State-gov,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
37523,19,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,Black,United-States,0,0,Male
47517,42,Private,9th,5,Divorced,Craft-repair,Not-in-family,White,United-States,0,0,Male
21050,26,State-gov,Some-college,10,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Female
18768,55,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,United-States,0,0,Female
46289,36,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
15390,63,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,United-States,0,0,Male
38191,39,Private,12th,8,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
2035,34,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Male
21047,63,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
43068,33,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
31067,30,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Spouse,White,Mexico,0,0,Male
45998,49,Local-gov,Masters,14,Married-civ-spouse,Adm-clerical,Spouse,White,Italy,1,0,Male
42062,27,Private,Some-college,10,Never-married,Other-service,Own-child,White,United-States,0,0,Male
42073,46,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,United-States,0,1,Female
7272,51,Private,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Black,United-States,0,1,Male
19808,24,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,0,0,Male
6186,68,Private,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,United-States,0,0,Female
44433,19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
47023,21,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,United-States,0,0,Male
34441,44,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,United-States,0,0,Female
18348,66,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,United-States,0,0,Female
37717,31,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
40053,67,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,United-States,0,0,Female
33691,43,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
12803,61,Private,Bachelors,13,Married-civ-spouse,Other-service,Spouse,Black,United-States,0,0,Male
20,34,Private,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,White,United-States,1,1,Male
23624,52,Private,10th,6,Married-civ-spouse,Transport-moving,Spouse,White,United-States,1,0,Male
25755,44,Private,Some-college,10,Divorced,Transport-moving,Own-child,White,United-States,0,0,Male
48536,19,Private,HS-grad,9,Never-married,Other-service,Own-child,White,United-States,0,0,Female
48663,44,Local-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
38566,38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
1762,55,Private,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,Black,United-States,0,0,Male
39217,46,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Male
32344,65,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
2424,51,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
44742,25,Private,HS-grad,9,Never-married,Sales,Own-child,White,United-States,0,0,Male
44454,49,State-gov,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,United-States,1,1,Female
30308,34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
16588,46,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
15144,36,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Male
1430,28,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Male
20368,36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
17584,36,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,1,Male
17885,46,State-gov,HS-grad,9,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
6280,32,Local-gov,HS-grad,9,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,United-States,0,0,Male
13629,26,Private,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,United-States,0,1,Male
5264,42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Female
6223,53,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Spouse,White,United-States,1,0,Male
8289,48,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
23354,56,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,United-States,1,1,Male
39222,44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,1,Male
15167,22,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,United-States,0,0,Female
27321,46,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
11811,48,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Nicaragua,0,1,Female
32403,34,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,United-States,0,1,Male
15782,56,Private,5th-6th,3,Divorced,Machine-op-inspct,Not-in-family,White,United-States,0,0,Female
24724,40,Private,HS-grad,9,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
13899,45,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Spouse,Asian-Pac-Islander,Philippines,1,0,Female
44971,36,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Female
17390,41,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Spouse,White,United-States,0,1,Male
5195,51,Private,10th,6,Widowed,Sales,Unmarried,White,United-States,0,0,Female
28925,39,Federal-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,United-States,0,1,Female
8716,45,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,Asian-Pac-Islander,India,1,1,Male
6692,51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Male
32967,23,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
14667,17,Private,10th,6,Never-married,Other-service,Own-child,White,United-States,0,0,Female
27886,24,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
38663,52,Private,11th,7,Divorced,Machine-op-inspct,Not-in-family,Black,United-States,0,0,Female
39688,25,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,United-States,0,0,Male
43514,23,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,United-States,0,0,Female
27328,43,Private,Some-college,10,Divorced,Tech-support,Own-child,White,United-States,0,1,Female
38063,66,Private,Some-college,10,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Male
33991,48,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
25081,36,Local-gov,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,United-States,1,0,Male
27365,17,Private,10th,6,Never-married,Other-service,Not-in-family,White,El-Salvador,0,0,Male
8459,43,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,Black,United-States,0,0,Male
43264,36,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
21497,28,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,United-States,0,1,Male
34799,19,Private,Some-college,10,Never-married,Other-service,Other-relative,Black,United-States,0,0,Male
42391,51,Self-emp-inc,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,United-States,1,1,Male
11271,26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,0,1,Male
39323,23,Private,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
40555,67,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,United-States,1,1,Male
14593,23,Private,Some-college,10,Never-married,Sales,Own-child,White,United-States,0,0,Female
15650,28,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,0,1,Male
46085,62,Private,10th,6,Married-civ-spouse,Craft-repair,Spouse,Black,United-States,0,0,Male
47392,22,Self-emp-not-inc,Some-college,10,Never-married,Sales,Own-child,Black,United-States,1,1,Male
2457,36,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,United-States,0,0,Female
6146,53,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Yugoslavia,1,0,Male
23401,47,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
26249,25,Private,11th,7,Never-married,Craft-repair,Not-in-family,White,Mexico,0,0,Male
46943,24,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,0,1,Male
48308,46,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,United-States,1,1,Female
22011,26,Private,Some-college,10,Never-married,Protective-serv,Not-in-family,White,United-States,0,1,Male
22328,42,Private,Bachelors,13,Never-married,Sales,Unmarried,White,United-States,0,0,Male
1988,23,Private,Some-college,10,Never-married,Sales,Not-in-family,White,United-States,0,1,Male
46312,40,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
17740,41,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
24888,22,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,United-States,0,0,Female
33776,21,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,United-States,0,0,Female
31771,49,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,United-States,0,0,Male
9399,63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
17858,24,State-gov,Some-college,10,Never-married,Tech-support,Not-in-family,White,United-States,0,1,Male
35550,36,Private,Some-college,10,Divorced,Sales,Not-in-family,White,United-States,0,1,Female
37122,51,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,United-States,0,1,Male
37295,53,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
45616,33,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,1,Male
30728,40,Self-emp-inc,Masters,14,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
4437,30,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
20978,27,Private,7th-8th,4,Never-married,Other-service,Other-relative,White,Guatemala,0,0,Male
41434,19,Private,12th,8,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Thailand,0,0,Female
35458,23,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Female
16737,30,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Female
14846,19,Private,Some-college,10,Never-married,Sales,Own-child,White,United-States,0,0,Female
13850,37,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,United-States,0,1,Male
35929,44,Private,10th,6,Never-married,Farming-fishing,Unmarried,White,United-States,0,0,Male
24774,49,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,United-States,0,0,Female
3744,66,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
23327,47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
29514,40,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
20807,47,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Spouse,Black,United-States,0,0,Female
37386,17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,United-States,0,0,Male
7963,43,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
30060,27,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
14950,45,Private,Some-college,10,Married-civ-spouse,Sales,Spouse,White,United-States,1,1,Male
25569,33,State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
25880,43,Local-gov,Masters,14,Never-married,Tech-support,Not-in-family,Black,United-States,1,1,Female
12192,61,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Spouse,White,United-States,1,0,Male
14793,26,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
45257,23,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,United-States,0,0,Male
15704,72,Local-gov,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,Black,United-States,0,0,Female
9169,61,Private,12th,8,Married-civ-spouse,Craft-repair,Spouse,Black,United-States,0,0,Female
29893,27,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,United-States,0,0,Female
33681,51,Private,HS-grad,9,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
43623,63,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,Black,United-States,0,0,Male
7329,46,Private,Bachelors,13,Separated,Prof-specialty,Unmarried,Black,Jamaica,0,0,Female
18501,22,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
36100,64,Private,11th,7,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
42512,26,Private,Masters,14,Never-married,Tech-support,Other-relative,White,United-States,0,0,Male
12250,62,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,United-States,0,0,Female
11028,32,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Female
11907,54,Private,Assoc-acdm,12,Separated,Prof-specialty,Not-in-family,Black,United-States,0,0,Female
1281,36,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
